Unnamed: 0,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,duration_value,"duration_type",duration_type
13,s14,movie,confessions of an invisible girl,bruno garotti,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",nan,2021-09-22,2021,tv-pg,91 min,"children & family movies, comedies","when the clever but socially-awkward tetê joins a new school, she'll do anything to fit in. but the queen bee among her classmates has other ideas.",2021.0,September,91.0,"min",min
14,s15,tv show,crime stories: india detectives,nan,,nan,2021-09-22,2021,tv-ma,1 Season,"british tv shows, crime tv shows, docuseries",cameras following bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,2021.0,September,1.0,"Season",Season
15,s16,tv show,dear white people,nan,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",united states,2021-09-22,2021,tv-ma,4 Seasons,"tv comedies, tv dramas","students of color navigate the daily slights and slippery politics of life at an ivy league college that's not nearly as ""post-racial"" as it thinks.",2021.0,September,4.0,"Seasons",Seasons
16,s17,movie,europe's most dangerous man: otto skorzeny in spain,"pedro de echave garcía, pablo azorín williams",,nan,2021-09-22,2020,tv-ma,67 min,"documentaries, international movies","declassified documents reveal the post-wwii life of otto skorzeny, a close hitler ally who escaped to spain and became an adviser to world presidents.",2021.0,September,67.0,"min",min
17,s18,tv show,falsa identidad,nan,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",mexico,2021-09-22,2020,tv-ma,2 Seasons,"crime tv shows, spanish-language tv shows, tv dramas",strangers diego and isabel flee their home in mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,2021.0,September,2.0,"Seasons",Seasons
18,s19,movie,intrusion,adam salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",nan,2021-09-22,2021,tv-14,94 min,thrillers,"after a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",2021.0,September,94.0,"min",min
19,s20,tv show,jaguar,nan,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",nan,2021-09-22,2021,tv-ma,1 Season,"international tv shows, spanish-language tv shows, tv action & adventure","in the 1960s, a holocaust survivor joins a group of self-trained spies who seek justice against nazis fleeing to spain to hide after wwii.",2021.0,September,1.0,"Season",Season
20,s21,tv show,monsters inside: the 24 faces of billy milligan,olivier megaton,,nan,2021-09-22,2021,tv-14,1 Season,"crime tv shows, docuseries, international tv shows","in the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates america.",2021.0,September,1.0,"Season",Season
21,s22,tv show,resurrection: ertugrul,nan,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",turkey,2021-09-22,2018,tv-14,5 Seasons,"international tv shows, tv action & adventure, tv dramas","when a good deed unwittingly endangers his clan, a 13th-century turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",2021.0,September,5.0,"Seasons",Seasons
22,s23,movie,avvai shanmughi,k.s. ravikumar,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",nan,2021-09-21,1996,tv-pg,161 min,"comedies, international movies","newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",2021.0,September,161.0,"min",min
23,s24,movie,go! go! cory carson: chrissy takes the wheel,"alex woo, stanley moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",nan,2021-09-21,2021,tv-y,61 min,children & family movies,"from arcade games to sled days and hiccup cures, cory carson’s curious little sister chrissy speeds off on her own for fun and adventure all over town!",2021.0,September,61.0,"min",min
24,s25,movie,jeans,s. shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",india,2021-09-21,1998,tv-14,166 min,"comedies, international movies, romantic movies","when the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",2021.0,September,166.0,"min",min
25,s26,tv show,love on the spectrum,nan,Brooke Satchwell,australia,2021-09-21,2021,tv-14,2 Seasons,"docuseries, international tv shows, reality tv","finding love can be hard for anyone. for young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",2021.0,September,2.0,"Seasons",Seasons
26,s27,movie,minsara kanavu,rajiv menon,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",nan,2021-09-21,1997,tv-pg,147 min,"comedies, international movies, music & musicals",a tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,2021.0,September,147.0,"min",min
27,s28,movie,grown ups,dennis dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",united states,2021-09-20,2010,pg-13,103 min,comedies,"mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",2021.0,September,103.0,"min",min
28,s29,movie,dark skies,scott stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",united states,2021-09-19,2013,pg-13,97 min,"horror movies, sci-fi & fantasy","a family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",2021.0,September,97.0,"min",min
29,s30,movie,paranoia,robert luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","united states, india, france",2021-09-19,2013,pg-13,106 min,thrillers,"blackmailed by his company's ceo, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",2021.0,September,106.0,"min",min
30,s31,movie,ankahi kahaniya,"ashwiny iyer tiwari, abhishek chaubey, saket chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",nan,2021-09-17,2021,tv-14,111 min,"dramas, independent movies, international movies","as big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",2021.0,September,111.0,"min",min
31,s32,tv show,chicago party aunt,nan,"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",nan,2021-09-17,2021,tv-ma,1 Season,tv comedies,chicago party aunt diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,2021.0,September,1.0,"Season",Season
32,s33,tv show,sex education,nan,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",united kingdom,2021-09-17,2020,tv-ma,3 Seasons,"british tv shows, international tv shows, tv comedies","insecure otis has all the answers when it comes to sex advice, thanks to his therapist mom. so rebel maeve proposes a school sex-therapy clinic.",2021.0,September,3.0,"Seasons",Seasons
33,s34,tv show,squid game,nan,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",nan,2021-09-17,2021,tv-ma,1 Season,"international tv shows, tv dramas, tv thrillers","hundreds of cash-strapped players accept a strange invitation to compete in children's games. inside, a tempting prize awaits — with deadly high stakes.",2021.0,September,1.0,"Season",Season
34,s35,tv show,tayo and little wizards,nan,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",nan,2021-09-17,2020,tv-y7,1 Season,kids' tv,tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,2021.0,September,1.0,"Season",Season
35,s36,movie,the father who moves mountains,daniel sandu,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",nan,2021-09-17,2021,tv-ma,110 min,"dramas, international movies, thrillers","when his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",2021.0,September,110.0,"min",min
36,s37,movie,the stronghold,cédric jimenez,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",nan,2021-09-17,2021,tv-ma,105 min,"action & adventure, dramas, international movies","tired of the small-time grind, three marseille cops get a chance to bust a major drug network. but lines blur when a key informant makes a big ask.",2021.0,September,105.0,"min",min
37,s38,tv show,angry birds,nan,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",finland,2021-09-16,2018,tv-y7,1 Season,"kids' tv, tv comedies","birds red, chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",2021.0,September,1.0,"Season",Season
38,s39,movie,birth of the dragon,george nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","china, canada, united states",2021-09-16,2017,pg-13,96 min,"action & adventure, dramas","a young bruce lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a shaolin master in this film based on real events.",2021.0,September,96.0,"min",min
39,s40,tv show,chhota bheem,nan,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",india,2021-09-16,2021,tv-y7,3 Seasons,kids' tv,"a brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow dholakpur villagers from evil.",2021.0,September,3.0,"Seasons",Seasons
40,s41,tv show,he-man and the masters of the universe,nan,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",united states,2021-09-16,2021,tv-y7,1 Season,"kids' tv, tv sci-fi & fantasy",mighty teen adam and his heroic squad of misfits discover the legendary power of grayskull — and their destiny to defend eternia from sinister skeletor.,2021.0,September,1.0,"Season",Season
41,s42,movie,jaws,steven spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",united states,2021-09-16,1975,pg,124 min,"action & adventure, classic movies, dramas","when an insatiable great white shark terrorizes amity island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",2021.0,September,124.0,"min",min
42,s43,movie,jaws 2,jeannot szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",united states,2021-09-16,1978,pg,116 min,"dramas, horror movies, thrillers","four years after the last deadly shark attacks, police chief martin brody fights to protect amity island from another killer great white.",2021.0,September,116.0,"min",min
43,s44,movie,jaws 3,joe alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",united states,2021-09-16,1983,pg,98 min,"action & adventure, horror movies, thrillers","after the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",2021.0,September,98.0,"min",min
44,s45,movie,jaws: the revenge,joseph sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",united states,2021-09-16,1987,pg-13,91 min,"action & adventure, horror movies, thrillers","after another deadly shark attack, ellen brody has had enough of amity island and moves to the caribbean – but a great white shark follows her there.",2021.0,September,91.0,"min",min
45,s46,movie,my heroes were cowboys,tyler greco,,nan,2021-09-16,2021,pg,23 min,documentaries,"robin wiltshire's painful childhood was rescued by westerns. now he lives on the frontier of his dreams, training the horses he loves for the big screen.",2021.0,September,23.0,"min",min
46,s47,movie,safe house,daniel espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","south africa, united states, japan",2021-09-16,2012,r,115 min,action & adventure,young cia operative matt weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,2021.0,September,115.0,"min",min
47,s48,tv show,the smart money woman,bunmi ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",nan,2021-09-16,2020,tv-ma,1 Season,"international tv shows, romantic tv shows, tv comedies","five glamorous millennials strive for success as they juggle careers, finances, love and friendships. based on arese ugwu's 2016 best-selling novel.",2021.0,September,1.0,"Season",Season
48,s49,movie,training day,antoine fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",united states,2021-09-16,2001,r,122 min,"dramas, thrillers",a rookie cop with one day to prove himself to a veteran lapd narcotics officer receives a crash course in his mentor's questionable brand of justice.,2021.0,September,122.0,"min",min
49,s50,tv show,castle and castle,nan,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",nigeria,2021-09-15,2021,tv-ma,2 Seasons,"international tv shows, tv dramas","a pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",2021.0,September,2.0,"Seasons",Seasons
50,s51,tv show,dharmakshetra,nan,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",india,2021-09-15,2014,tv-pg,1 Season,"international tv shows, tv dramas, tv sci-fi & fantasy","after the ancient great war, the god chitragupta oversees a trial to determine who were the battle's true heroes and villains.",2021.0,September,1.0,"Season",Season
51,s52,movie,inuyasha the movie 2: the castle beyond the looking glass,toshiya shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",japan,2021-09-15,2002,tv-14,99 min,"action & adventure, anime features, international movies","with their biggest foe seemingly defeated, inuyasha and his friends return to everyday life. but the peace is soon shattered by an emerging new enemy.",2021.0,September,99.0,"min",min
52,s53,movie,inuyasha the movie 3: swords of an honorable ruler,toshiya shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",japan,2021-09-15,2003,tv-14,99 min,"action & adventure, anime features, international movies",the great dog demon beaqueathed one of the three swords of the fang to each of his two sons. now the evil power of the third sword has been awakened.,2021.0,September,99.0,"min",min
53,s54,movie,inuyasha the movie 4: fire on the mystic island,toshiya shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",japan,2021-09-15,2004,tv-pg,88 min,"action & adventure, anime features, international movies","ai, a young half-demon who has escaped from horai island to try to help her people, returns with potential saviors inuyasha, sesshomaru and kikyo.",2021.0,September,88.0,"min",min
54,s55,movie,inuyasha the movie: affections touching across time,toshiya shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",japan,2021-09-15,2001,tv-pg,100 min,"action & adventure, anime features, international movies","a powerful demon has been sealed away for 200 years. but when the demon's son is awakened, the fate of the world is in jeopardy.",2021.0,September,100.0,"min",min
55,s56,tv show,nailed it,nan,"Nicole Byer, Jacques Torres",united states,2021-09-15,2021,tv-pg,6 Seasons,reality tv,"home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. it's part reality contest, part hot mess.",2021.0,September,6.0,"Seasons",Seasons
56,s57,movie,naruto shippuden the movie: blood prison,masahiko murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",japan,2021-09-15,2011,tv-14,102 min,"action & adventure, anime features, international movies","mistakenly accused of an attack on the fourth raikage, ninja naruto is imprisoned in the impenetrable hozuki castle and his powers are sealed.",2021.0,September,102.0,"min",min
57,s58,movie,naruto shippûden the movie: bonds,hajime kamegaki,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada",japan,2021-09-15,2008,tv-pg,93 min,"action & adventure, anime features, international movies","when strange ninjas ambush the village of konohagakure, it's up to adolescent ninja naruto and his long-missing pal, sasuke, to save the planet.",2021.0,September,93.0,"min",min
58,s59,movie,naruto shippûden the movie: the will of fire,masahiko murata,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura",japan,2021-09-15,2009,tv-pg,96 min,"action & adventure, anime features, international movies","when four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",2021.0,September,96.0,"min",min
59,s60,movie,naruto shippuden: the movie,hajime kamegaki,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato",japan,2021-09-15,2007,tv-pg,95 min,"action & adventure, anime features, international movies","the adventures of adolescent ninja naruto uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",2021.0,September,95.0,"min",min
60,s61,movie,naruto shippuden: the movie: the lost tower,masahiko murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",japan,2021-09-15,2010,tv-14,85 min,"action & adventure, anime features, international movies","when naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",2021.0,September,85.0,"min",min
61,s62,movie,naruto the movie 2: legend of the stone of gelel,hirotsugu kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",japan,2021-09-15,2005,tv-pg,97 min,"action & adventure, anime features, international movies","while on a mission to return a missing pet, naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic temujin.",2021.0,September,97.0,"min",min
62,s63,movie,naruto the movie 3: guardians of the crescent moon kingdom,toshiyuki tsuru,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa",japan,2021-09-15,2006,tv-pg,95 min,"action & adventure, anime features, international movies","exuberant ninja naruto teams up with his pals sakura and kakashi to escort prince michiru and his son, hikaru, to the crescent moon kingdom.",2021.0,September,95.0,"min",min
63,s64,movie,naruto the movie: ninja clash in the land of snow,tensai okamura,"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa",japan,2021-09-15,2004,tv-pg,83 min,"action & adventure, anime features, international movies","naruto, sasuke and sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",2021.0,September,83.0,"min",min
64,s65,movie,nightbooks,david yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter",nan,2021-09-15,2021,tv-pg,103 min,children & family movies,scary story fan alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,2021.0,September,103.0,"min",min
65,s66,tv show,numberblocks,nan,"Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher",united kingdom,2021-09-15,2021,tv-y,6 Seasons,kids' tv,"in a place called numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",2021.0,September,6.0,"Seasons",Seasons
